filename,question,
./articles/A/Amebiasis.txt,What are the symptoms of Amebiasis?,
./articles/A/Amebiasis.txt,What is the treatment for Amebiasis?,
./articles/A/Amebiasis.txt,How can Amebiasis be prevented?,
./articles/A/Amebic liver abscess.txt,What are the symptoms of Amebic liver abscess?,
./articles/A/Amebic liver abscess.txt,What is the treatment for Amebic liver abscess?,
./articles/A/Amebic liver abscess.txt,How can Amebic liver abscess be prevented?,
./articles/A/Absence seizure.txt,What are the symptoms of Absence seizure?,
./articles/A/Absence seizure.txt,What is the treatment for Absence seizure?,
./articles/A/Aneurysm in the brain.txt,What are the symptoms of Aneurysm in the brain?,
./articles/A/Aneurysm in the brain.txt,What is the treatment for Aneurysm in the brain?,
./articles/A/Aneurysm in the brain.txt,How can Aneurysm in the brain be prevented?,
./articles/A/Acetaminophen and codeine overdose.txt,What are the symptoms of Acetaminophen and codeine overdose?,
./articles/A/Agranulocytosis.txt,What are the symptoms of Agranulocytosis?,
./articles/A/Agranulocytosis.txt,What is the treatment for Agranulocytosis?,
./articles/A/Agranulocytosis.txt,How can Agranulocytosis be prevented?,
./articles/B/Benzene poisoning.txt,What are the symptoms of Benzene poisoning?,
./articles/B/Bronchopulmonary dysplasia.txt,What are the symptoms of Bronchopulmonary dysplasia?,
./articles/B/Bronchopulmonary dysplasia.txt,What is the treatment for Bronchopulmonary dysplasia?,
./articles/B/Bronchopulmonary dysplasia.txt,How can Bronchopulmonary dysplasia be prevented?,
./articles/B/Bowlegs.txt,What are the symptoms of Bowlegs?,
./articles/B/Bowlegs.txt,What is the treatment for Bowlegs?,
./articles/B/Bowlegs.txt,How can Bowlegs be prevented?,
./articles/B/Broken bone.txt,What are the symptoms of Broken bone?,
./articles/B/Broken bone.txt,How can Broken bone be prevented?,
./articles/B/Bruise.txt,What are the symptoms of Bruise?,
./articles/B/Bruise.txt,How can Bruise be prevented?,
./articles/B/Body lice.txt,What are the symptoms of Body lice?,
./articles/B/Body lice.txt,What is the treatment for Body lice?,
./articles/B/Body lice.txt,How can Body lice be prevented?,
./articles/B/Bronchiolitis.txt,What are the symptoms of Bronchiolitis?,
./articles/B/Bronchiolitis.txt,What is the treatment for Bronchiolitis?,
./articles/B/Bronchiolitis.txt,How can Bronchiolitis be prevented?,
./articles/B/Bicuspid aortic valve.txt,What are the symptoms of Bicuspid aortic valve?,
./articles/B/Bicuspid aortic valve.txt,What is the treatment for Bicuspid aortic valve?,
./articles/B/Bicuspid aortic valve.txt,How can Bicuspid aortic valve be prevented?,
./articles/B/Bacitracin overdose.txt,What are the symptoms of Bacitracin overdose?,
./articles/B/Black widow spider.txt,What are the symptoms of Black widow spider?,
./articles/B/Brain tumor - children.txt,What are the symptoms of Brain tumor - children?,
./articles/B/Brain tumor - children.txt,What is the treatment for Brain tumor - children?,
./articles/B/Burkitt lymphoma.txt,What are the symptoms of Burkitt lymphoma?,
./articles/B/Burkitt lymphoma.txt,What is the treatment for Burkitt lymphoma?,
./articles/B/Broken or knocked out tooth.txt,How can Broken or knocked out tooth be prevented?,
./articles/B/Bacterial gastroenteritis.txt,What are the symptoms of Bacterial gastroenteritis?,
./articles/B/Bacterial gastroenteritis.txt,What is the treatment for Bacterial gastroenteritis?,
./articles/B/Bacterial gastroenteritis.txt,How can Bacterial gastroenteritis be prevented?,
./articles/B/Broken or dislocated jaw.txt,What are the symptoms of Broken or dislocated jaw?,
./articles/B/Broken or dislocated jaw.txt,How can Broken or dislocated jaw be prevented?,
./articles/B/Botulism.txt,What are the symptoms of Botulism?,
./articles/B/Botulism.txt,What is the treatment for Botulism?,
./articles/B/Botulism.txt,How can Botulism be prevented?,
./articles/B/Brown recluse spider.txt,What are the symptoms of Brown recluse spider?,
./articles/B/Bacitracin zinc overdose.txt,What are the symptoms of Bacitracin zinc overdose?,
./articles/B/Brain herniation.txt,What are the symptoms of Brain herniation?,
./articles/B/Brain herniation.txt,What is the treatment for Brain herniation?,
./articles/B/Brain herniation.txt,How can Brain herniation be prevented?,
./articles/B/Bulimia.txt,What are the symptoms of Bulimia?,
./articles/B/Bulimia.txt,What is the treatment for Bulimia?,
./articles/B/Burns.txt,What are the symptoms of Burns?,
./articles/B/Burns.txt,How can Burns be prevented?,
./articles/B/Bronchiectasis.txt,What are the symptoms of Bronchiectasis?,
./articles/B/Bronchiectasis.txt,What is the treatment for Bronchiectasis?,
./articles/B/Bronchiectasis.txt,How can Bronchiectasis be prevented?,
./articles/B/Brachial plexus injury in newborns.txt,What are the symptoms of Brachial plexus injury in newborns?,
./articles/B/Brachial plexus injury in newborns.txt,What is the treatment for Brachial plexus injury in newborns?,
./articles/B/Brachial plexus injury in newborns.txt,How can Brachial plexus injury in newborns be prevented?,
./articles/B/Blepharitis.txt,What are the symptoms of Blepharitis?,
./articles/B/Blepharitis.txt,What is the treatment for Blepharitis?,
./articles/B/Blepharitis.txt,How can Blepharitis be prevented?,
./articles/B/Biliary atresia.txt,What are the symptoms of Biliary atresia?,
./articles/B/Biliary atresia.txt,What is the treatment for Biliary atresia?,
./articles/B/Birthmarks - pigmented.txt,What are the symptoms of Birthmarks - pigmented?,
./articles/B/Birthmarks - pigmented.txt,What is the treatment for Birthmarks - pigmented?,
./articles/B/Birthmarks - pigmented.txt,How can Birthmarks - pigmented be prevented?,
./articles/B/Bleeding.txt,What are the symptoms of Bleeding?,
./articles/B/Bleeding.txt,How can Bleeding be prevented?,
./articles/B/Bleeding esophageal varices.txt,What are the symptoms of Bleeding esophageal varices?,
./articles/B/Bleeding esophageal varices.txt,What is the treatment for Bleeding esophageal varices?,
./articles/B/Bleeding esophageal varices.txt,How can Bleeding esophageal varices be prevented?,
./articles/B/Bone tumor.txt,What are the symptoms of Bone tumor?,
./articles/B/Bone tumor.txt,What is the treatment for Bone tumor?,
./articles/B/Blockage of upper airway.txt,What are the symptoms of Blockage of upper airway?,
./articles/B/Blockage of upper airway.txt,What is the treatment for Blockage of upper airway?,
./articles/B/Blockage of upper airway.txt,How can Blockage of upper airway be prevented?,
./articles/B/Brompheniramine overdose.txt,What are the symptoms of Brompheniramine overdose?,
./articles/B/Brain abscess.txt,What are the symptoms of Brain abscess?,
./articles/B/Brain abscess.txt,What is the treatment for Brain abscess?,
./articles/B/Brain abscess.txt,How can Brain abscess be prevented?,
./articles/B/Bunions.txt,What are the symptoms of Bunions?,
./articles/B/Bunions.txt,What is the treatment for Bunions?,
./articles/B/Bunions.txt,How can Bunions be prevented?,
./articles/B/Black nightshade poisoning.txt,What are the symptoms of Black nightshade poisoning?,
./articles/B/Blount disease.txt,What are the symptoms of Blount disease?,
./articles/B/Blount disease.txt,What is the treatment for Blount disease?,
./articles/B/Blount disease.txt,How can Blount disease be prevented?,
./articles/B/Brain tumor - primary - adults.txt,What are the symptoms of Brain tumor - primary - adults?,
./articles/B/Brain tumor - primary - adults.txt,What is the treatment for Brain tumor - primary - adults?,
./articles/B/Blocked tear duct.txt,What are the symptoms of Blocked tear duct?,
./articles/B/Blocked tear duct.txt,What is the treatment for Blocked tear duct?,
./articles/B/Blocked tear duct.txt,How can Blocked tear duct be prevented?,
./articles/B/Boric acid poisoning.txt,What are the symptoms of Boric acid poisoning?,
./articles/B/Bleeding disorders.txt,What are the symptoms of Bleeding disorders?,
./articles/B/Bleeding disorders.txt,What is the treatment for Bleeding disorders?,
./articles/B/Bleeding disorders.txt,How can Bleeding disorders be prevented?,
./articles/B/Bruxism.txt,What are the symptoms of Bruxism?,
./articles/B/Bruxism.txt,What is the treatment for Bruxism?,
./articles/B/Bruxism.txt,How can Bruxism be prevented?,
./articles/B/Bubble bath soap poisoning.txt,What are the symptoms of Bubble bath soap poisoning?,
./articles/B/Beriberi.txt,What are the symptoms of Beriberi?,
./articles/B/Beriberi.txt,What is the treatment for Beriberi?,
./articles/B/Beriberi.txt,How can Beriberi be prevented?,
./articles/B/Bullous pemphigoid.txt,What are the symptoms of Bullous pemphigoid?,
./articles/B/Bullous pemphigoid.txt,What is the treatment for Bullous pemphigoid?,
./articles/B/Boils.txt,What are the symptoms of Boils?,
./articles/B/Boils.txt,What is the treatment for Boils?,
./articles/B/Boils.txt,How can Boils be prevented?,
./articles/B/Bladder cancer.txt,What are the symptoms of Bladder cancer?,
./articles/B/Bladder cancer.txt,What is the treatment for Bladder cancer?,
./articles/B/Bladder cancer.txt,How can Bladder cancer be prevented?,
./articles/B/Bell palsy.txt,What are the symptoms of Bell palsy?,
./articles/B/Bell palsy.txt,What is the treatment for Bell palsy?,
./articles/B/Bell palsy.txt,How can Bell palsy be prevented?,
./articles/B/Bezoar.txt,What are the symptoms of Bezoar?,
./articles/B/Bezoar.txt,What is the treatment for Bezoar?,
./articles/B/Bezoar.txt,How can Bezoar be prevented?,
./articles/B/Beta-blockers overdose.txt,What are the symptoms of Beta-blockers overdose?,
./articles/B/Blue nightshade poisoning.txt,What are the symptoms of Blue nightshade poisoning?,
./articles/B/Brucellosis.txt,What are the symptoms of Brucellosis?,
./articles/B/Brucellosis.txt,What is the treatment for Brucellosis?,
./articles/B/Brucellosis.txt,How can Brucellosis be prevented?,
./articles/B/Borderline personality disorder.txt,What are the symptoms of Borderline personality disorder?,
./articles/B/Borderline personality disorder.txt,What is the treatment for Borderline personality disorder?,
./articles/B/Birth control pill overdose.txt,What are the symptoms of Birth control pill overdose?,
./articles/B/Bug spray poisoning.txt,What are the symptoms of Bug spray poisoning?,
./articles/B/Brachial plexopathy.txt,What are the symptoms of Brachial plexopathy?,
./articles/B/Brachial plexopathy.txt,What is the treatment for Brachial plexopathy?,
./articles/C/Chlordiazepoxide overdose.txt,What are the symptoms of Chlordiazepoxide overdose?,
./articles/C/Celiac disease â sprue.txt,What are the symptoms of Celiac disease â sprue?,
./articles/C/Celiac disease â sprue.txt,What is the treatment for Celiac disease â sprue?,
./articles/C/Celiac disease â sprue.txt,How can Celiac disease â sprue be prevented?,
./articles/C/Carotid artery disease.txt,What are the symptoms of Carotid artery disease?,
./articles/C/Carotid artery disease.txt,What is the treatment for Carotid artery disease?,
./articles/C/Carotid artery disease.txt,How can Carotid artery disease be prevented?,
./articles/C/Chickenpox.txt,What are the symptoms of Chickenpox?,
./articles/C/Chickenpox.txt,What is the treatment for Chickenpox?,
./articles/C/Chickenpox.txt,How can Chickenpox be prevented?,
./articles/C/Caladium plant poisoning.txt,What are the symptoms of Caladium plant poisoning?,
./articles/C/Chlorine poisoning.txt,What are the symptoms of Chlorine poisoning?,
./articles/C/Caulking compound poisoning.txt,What are the symptoms of Caulking compound poisoning?,
./articles/C/Cancer.txt,What are the symptoms of Cancer?,
./articles/C/Cancer.txt,What is the treatment for Cancer?,
./articles/C/Cancer.txt,How can Cancer be prevented?,
./articles/C/Chlamydia infections in women.txt,What are the symptoms of Chlamydia infections in women?,
./articles/C/Chlamydia infections in women.txt,What is the treatment for Chlamydia infections in women?,
./articles/C/Cardiac tamponade.txt,What are the symptoms of Cardiac tamponade?,
./articles/C/Cardiac tamponade.txt,What is the treatment for Cardiac tamponade?,
./articles/C/Cardiac tamponade.txt,How can Cardiac tamponade be prevented?,
./articles/C/Cardiac amyloidosis.txt,What are the symptoms of Cardiac amyloidosis?,
./articles/C/Cardiac amyloidosis.txt,What is the treatment for Cardiac amyloidosis?,
./articles/C/Choanal atresia.txt,What are the symptoms of Choanal atresia?,
./articles/C/Choanal atresia.txt,What is the treatment for Choanal atresia?,
./articles/C/Choanal atresia.txt,How can Choanal atresia be prevented?,
./articles/C/Charcot foot.txt,What are the symptoms of Charcot foot?,
./articles/C/Charcot foot.txt,What is the treatment for Charcot foot?,
./articles/C/Charcot foot.txt,How can Charcot foot be prevented?,
./articles/C/Cat-scratch disease.txt,What are the symptoms of Cat-scratch disease?,
./articles/C/Cat-scratch disease.txt,What is the treatment for Cat-scratch disease?,
./articles/C/Cat-scratch disease.txt,How can Cat-scratch disease be prevented?,
./articles/C/Cellulitis.txt,What are the symptoms of Cellulitis?,
./articles/C/Cellulitis.txt,What is the treatment for Cellulitis?,
./articles/C/Cellulitis.txt,How can Cellulitis be prevented?,
./articles/C/Cervicitis.txt,What are the symptoms of Cervicitis?,
./articles/C/Cervicitis.txt,What is the treatment for Cervicitis?,
./articles/C/Cervicitis.txt,How can Cervicitis be prevented?,
./articles/C/Cardiac arrest.txt,What are the symptoms of Cardiac arrest?,
./articles/C/Cardiac arrest.txt,What is the treatment for Cardiac arrest?,
./articles/C/Cardiac arrest.txt,How can Cardiac arrest be prevented?,
./articles/C/Cavernous sinus thrombosis.txt,What are the symptoms of Cavernous sinus thrombosis?,
./articles/C/Cavernous sinus thrombosis.txt,What is the treatment for Cavernous sinus thrombosis?,
./articles/C/Cataract - adult.txt,What are the symptoms of Cataract - adult?,
./articles/C/Cataract - adult.txt,What is the treatment for Cataract - adult?,
./articles/C/Cataract - adult.txt,How can Cataract - adult be prevented?,
./articles/C/Choking - adult or child over 1 year.txt,What are the symptoms of Choking - adult or child over 1 year?,
./articles/C/Choking - adult or child over 1 year.txt,How can Choking - adult or child over 1 year be prevented?,
./articles/C/Calcium carbonate with magnesium overdose.txt,What are the symptoms of Calcium carbonate with magnesium overdose?,
./articles/C/Chlamydia.txt,What are the symptoms of Chlamydia?,
./articles/C/Chlamydia.txt,What is the treatment for Chlamydia?,
./articles/C/Canker sore.txt,What are the symptoms of Canker sore?,
./articles/C/Canker sore.txt,What is the treatment for Canker sore?,
./articles/C/Chlamydial infections - male.txt,What are the symptoms of Chlamydial infections - male?,
./articles/C/Chlamydial infections - male.txt,What is the treatment for Chlamydial infections - male?,
./articles/C/Chlamydial infections - male.txt,How can Chlamydial infections - male be prevented?,
./articles/C/Candida auris infection.txt,What are the symptoms of Candida auris infection?,
./articles/C/Candida auris infection.txt,What is the treatment for Candida auris infection?,
./articles/C/Candida auris infection.txt,How can Candida auris infection be prevented?,
./articles/C/Central diabetes insipidus.txt,What are the symptoms of Central diabetes insipidus?,
./articles/C/Central diabetes insipidus.txt,What is the treatment for Central diabetes insipidus?,
./articles/C/Central diabetes insipidus.txt,How can Central diabetes insipidus be prevented?,
./articles/C/Child physical abuse.txt,What are the symptoms of Child physical abuse?,
./articles/C/Child physical abuse.txt,What is the treatment for Child physical abuse?,
./articles/C/Choking - infant under 1 year.txt,What are the symptoms of Choking - infant under 1 year?,
./articles/C/Choking - infant under 1 year.txt,How can Choking - infant under 1 year be prevented?,
./articles/C/Cervical dysplasia.txt,What are the symptoms of Cervical dysplasia?,
./articles/C/Cervical dysplasia.txt,What is the treatment for Cervical dysplasia?,
./articles/C/Cervical dysplasia.txt,How can Cervical dysplasia be prevented?,
./articles/C/Chemical burn or reaction.txt,What are the symptoms of Chemical burn or reaction?,
./articles/C/Chemical burn or reaction.txt,How can Chemical burn or reaction be prevented?,
./articles/C/Chagas disease.txt,What are the symptoms of Chagas disease?,
./articles/C/Chagas disease.txt,What is the treatment for Chagas disease?,
./articles/C/Chagas disease.txt,How can Chagas disease be prevented?,
./articles/C/Cervical polyps.txt,What are the symptoms of Cervical polyps?,
./articles/C/Cervical polyps.txt,What is the treatment for Cervical polyps?,
./articles/C/Cervical polyps.txt,How can Cervical polyps be prevented?,
./articles/C/Chediak-Higashi syndrome.txt,What are the symptoms of Chediak-Higashi syndrome?,
./articles/C/Chediak-Higashi syndrome.txt,What is the treatment for Chediak-Higashi syndrome?,
./articles/C/Chediak-Higashi syndrome.txt,How can Chediak-Higashi syndrome be prevented?,
./articles/C/Charcot-Marie-Tooth disease.txt,What are the symptoms of Charcot-Marie-Tooth disease?,
./articles/C/Charcot-Marie-Tooth disease.txt,What is the treatment for Charcot-Marie-Tooth disease?,
./articles/C/Charcot-Marie-Tooth disease.txt,How can Charcot-Marie-Tooth disease be prevented?,
./articles/C/Candles poisoning.txt,What are the symptoms of Candles poisoning?,
./articles/C/Chlorinated lime poisoning.txt,What are the symptoms of Chlorinated lime poisoning?,
./articles/C/Cardiogenic shock.txt,What are the symptoms of Cardiogenic shock?,
./articles/C/Cardiogenic shock.txt,What is the treatment for Cardiogenic shock?,
./articles/C/Cardiogenic shock.txt,How can Cardiogenic shock be prevented?,
./articles/C/Canavan disease.txt,What are the symptoms of Canavan disease?,
./articles/C/Canavan disease.txt,What is the treatment for Canavan disease?,
./articles/C/Canavan disease.txt,How can Canavan disease be prevented?,
./articles/C/Centipede.txt,What are the symptoms of Centipede?,
./articles/C/Calcium carbonate overdose.txt,What are the symptoms of Calcium carbonate overdose?,
./articles/C/Cardiomyopathy.txt,What is the treatment for Cardiomyopathy?,
./articles/C/Carbuncle.txt,What are the symptoms of Carbuncle?,
./articles/C/Carbuncle.txt,What is the treatment for Carbuncle?,
./articles/C/Carbuncle.txt,How can Carbuncle be prevented?,
./articles/C/Chlorophyll poisoning.txt,What are the symptoms of Chlorophyll poisoning?,
./articles/C/Carpal tunnel syndrome.txt,What are the symptoms of Carpal tunnel syndrome?,
./articles/C/Carpal tunnel syndrome.txt,What is the treatment for Carpal tunnel syndrome?,
./articles/C/Carpal tunnel syndrome.txt,How can Carpal tunnel syndrome be prevented?,
./articles/C/Caffeine overdose.txt,What are the symptoms of Caffeine overdose?,
./articles/C/Caput succedaneum.txt,What are the symptoms of Caput succedaneum?,
./articles/C/Caput succedaneum.txt,What is the treatment for Caput succedaneum?,
./articles/C/Charley horse.txt,What are the symptoms of Charley horse?,
./articles/C/Charley horse.txt,What is the treatment for Charley horse?,
./articles/C/Charley horse.txt,How can Charley horse be prevented?,
./articles/C/Carcinoid syndrome.txt,What are the symptoms of Carcinoid syndrome?,
./articles/C/Carcinoid syndrome.txt,What is the treatment for Carcinoid syndrome?,
